Format,Player,Runs,Mins,BF,4s,6s,SR,Inns,Unnamed: 8,Opposition,Ground,Start Date,Unnamed: 12
ODI,M Prabhakar,DNB,-,-,-,-,-,2,,v England,Leeds,18 Jul 1990,
ODI,KS More,DNB,-,-,-,-,-,2,,v England,Leeds,18 Jul 1990,
ODI,SK Sharma,DNB,-,-,-,-,-,2,,v England,Leeds,18 Jul 1990,
ODI,A Kumble,DNB,-,-,-,-,-,2,,v England,Leeds,18 Jul 1990,
ODI,M Prabhakar,DNB,-,-,-,-,-,2,,v England,Nottingham,20 Jul 1990,
ODI,KS More,DNB,-,-,-,-,-,2,,v England,Nottingham,20 Jul 1990,
ODI,SK Sharma,DNB,-,-,-,-,-,2,,v England,Nottingham,20 Jul 1990,
ODI,A Kumble,DNB,-,-,-,-,-,2,,v England,Nottingham,20 Jul 1990,
ODI,M Prabhakar,DNB,-,-,-,-,-,1,,v Sri Lanka,Nagpur,1 Dec 1990,
ODI,KS More,DNB,-,-,-,-,-,1,,v Sri Lanka,Nagpur,1 Dec 1990,
ODI,Arshad Ayub,DNB,-,-,-,-,-,1,,v Sri Lanka,Nagpur,1 Dec 1990,
ODI,A Kumble,DNB,-,-,-,-,-,1,,v Sri Lanka,Nagpur,1 Dec 1990,
ODI,M Prabhakar,DNB,-,-,-,-,-,2,,v Sri Lanka,Pune,5 Dec 1990,
ODI,KS More,DNB,-,-,-,-,-,2,,v Sri Lanka,Pune,5 Dec 1990,
ODI,Arshad Ayub,DNB,-,-,-,-,-,2,,v Sri Lanka,Pune,5 Dec 1990,
ODI,AS Wassan,DNB,-,-,-,-,-,2,,v Sri Lanka,Pune,5 Dec 1990,
ODI,A Kumble,DNB,-,-,-,-,-,2,,v Sri Lanka,Pune,5 Dec 1990,
ODI,N Kapil Dev,DNB,-,-,-,-,-,2,,v Bangladesh,Chandigarh,25 Dec 1990,
ODI,M Prabhakar,DNB,-,-,-,-,-,2,,v Bangladesh,Chandigarh,25 Dec 1990,
ODI,M Azharuddin,DNB,-,-,-,-,-,2,,v Bangladesh,Chandigarh,25 Dec 1990,
ODI,KS More,DNB,-,-,-,-,-,2,,v Bangladesh,Chandigarh,25 Dec 1990,
ODI,SR Tendulkar,DNB,-,-,-,-,-,2,,v Bangladesh,Chandigarh,25 Dec 1990,
