Format,Player,Overs,Mdns,Runs,Wkts,Econ,Inns,Unnamed: 7,Opposition,Ground,Start Date,Unnamed: 11
T20,KL Rahul,DNB,-,-,-,-,1,,v Bangladesh,Colombo (RPS),18 Mar 2018,
T20,MS Dhoni,DNB,-,-,-,-,2,,v Ireland,Dublin (Malahide),27 Jun 2018,
T20,SK Raina,DNB,-,-,-,-,2,,v Ireland,Dublin (Malahide),27 Jun 2018,
T20,S Dhawan,DNB,-,-,-,-,2,,v Ireland,Dublin (Malahide),27 Jun 2018,
T20,RG Sharma,DNB,-,-,-,-,2,,v Ireland,Dublin (Malahide),27 Jun 2018,
T20,V Kohli,DNB,-,-,-,-,2,,v Ireland,Dublin (Malahide),27 Jun 2018,
T20,MK Pandey,DNB,-,-,-,-,2,,v Ireland,Dublin (Malahide),27 Jun 2018,
T20,KD Karthik,DNB,-,-,-,-,2,,v Ireland,Dublin (Malahide),29 Jun 2018,
T20,SK Raina,DNB,-,-,-,-,2,,v Ireland,Dublin (Malahide),29 Jun 2018,
T20,RG Sharma,DNB,-,-,-,-,2,,v Ireland,Dublin (Malahide),29 Jun 2018,
T20,V Kohli,DNB,-,-,-,-,2,,v Ireland,Dublin (Malahide),29 Jun 2018,
T20,MK Pandey,DNB,-,-,-,-,2,,v Ireland,Dublin (Malahide),29 Jun 2018,
T20,KL Rahul,DNB,-,-,-,-,2,,v Ireland,Dublin (Malahide),29 Jun 2018,
T20,MS Dhoni,DNB,-,-,-,-,1,,v England,Manchester,3 Jul 2018,
T20,SK Raina,DNB,-,-,-,-,1,,v England,Manchester,3 Jul 2018,
T20,S Dhawan,DNB,-,-,-,-,1,,v England,Manchester,3 Jul 2018,
T20,RG Sharma,DNB,-,-,-,-,1,,v England,Manchester,3 Jul 2018,
T20,V Kohli,DNB,-,-,-,-,1,,v England,Manchester,3 Jul 2018,
T20,KL Rahul,DNB,-,-,-,-,1,,v England,Manchester,3 Jul 2018,
T20,MS Dhoni,DNB,-,-,-,-,2,,v England,Cardiff,6 Jul 2018,
T20,SK Raina,DNB,-,-,-,-,2,,v England,Cardiff,6 Jul 2018,
T20,S Dhawan,DNB,-,-,-,-,2,,v England,Cardiff,6 Jul 2018,
T20,RG Sharma,DNB,-,-,-,-,2,,v England,Cardiff,6 Jul 2018,
T20,V Kohli,DNB,-,-,-,-,2,,v England,Cardiff,6 Jul 2018,
T20,KL Rahul,DNB,-,-,-,-,2,,v England,Cardiff,6 Jul 2018,
T20,MS Dhoni,DNB,-,-,-,-,1,,v England,Bristol,8 Jul 2018,
T20,SK Raina,DNB,-,-,-,-,1,,v England,Bristol,8 Jul 2018,
T20,S Dhawan,DNB,-,-,-,-,1,,v England,Bristol,8 Jul 2018,
T20,RG Sharma,DNB,-,-,-,-,1,,v England,Bristol,8 Jul 2018,
T20,V Kohli,DNB,-,-,-,-,1,,v England,Bristol,8 Jul 2018,
T20,KL Rahul,DNB,-,-,-,-,1,,v England,Bristol,8 Jul 2018,
T20,KD Karthik,DNB,-,-,-,-,1,,v West Indies,Eden Gardens,4 Nov 2018,
T20,S Dhawan,DNB,-,-,-,-,1,,v West Indies,Eden Gardens,4 Nov 2018,
T20,RG Sharma,DNB,-,-,-,-,1,,v West Indies,Eden Gardens,4 Nov 2018,
T20,MK Pandey,DNB,-,-,-,-,1,,v West Indies,Eden Gardens,4 Nov 2018,
T20,KL Rahul,DNB,-,-,-,-,1,,v West Indies,Eden Gardens,4 Nov 2018,
